Time,Channel A,Channel B
(s),(V),(mA)

-1.02003992,0.16793799,84.52262878
-1.02001992,-0.08396900,80.30880737
-1.01999992,0.16793799,88.75183868
-1.01997992,-0.08396900,84.52262878
-1.01995992,0.25221458,76.07959747
-1.01993992,-0.08396900,88.75183868
-1.01991992,0.00000000,59.16276550
-1.01989992,0.08396900,76.07959747
-1.01987992,-0.08396900,63.39197922
-1.01985992,0.16793799,88.75183868
-1.01983992,-0.08396900,71.85038757
-1.01981992,0.00000000,76.07959747
-1.01979992,0.00000000,67.62118530
-1.01977992,-0.08396900,71.85038757
-1.01975992,0.16793799,76.07959747
-1.01973992,0.00000000,76.07959747
-1.01971992,0.00000000,76.07959747
-1.01969992,0.08396900,80.30880737
-1.01967992,-0.16793799,59.16276550
-1.01965992,0.16793799,54.93355942
-1.01963992,-0.08396900,71.85038757
-1.01961992,0.00000000,71.85038757
-1.01959992,0.00000000,59.16276550
-1.01957992,0.00000000,59.16276550
-1.01955992,0.16793799,42.26131439
-1.01953992,-0.08396900,46.49052429
-1.01951992,0.08396900,38.03210831
-1.01949992,0.00000000,42.26131439
-1.01947992,-0.08396900,46.49052429
-1.01945992,0.16793799,21.13065720
-1.01943992,-0.16793799,33.80290222
-1.01941992,0.16793799,25.35986519
-1.01939992,-0.08396900,16.90145111
-1.01937992,0.16793799,21.13065720
-1.01935992,0.00000000,12.67224407
-1.01933992,0.00000000,12.67224407
-1.01931992,0.08396900,0.00000000
-1.01929992,-0.08396900,16.90145111
-1.01927992,0.16793799,12.67224407
-1.01925992,-0.16793799,29.57369614
-1.01923992,0.16793799,59.16276550
-1.01921992,0.00000000,46.49052429
-1.01919992,0.00000000,54.93355942
-1.01917992,0.16793799,63.39197922
-1.01915992,0.00000000,67.62118530
-1.01913992,0.16793799,84.52262878
-1.01911992,-0.16793799,84.52262878
-1.01909992,0.16793799,71.85038757
-1.01907992,-0.08396900,80.30880737
-1.01905992,0.08396900,84.52262878
-1.01903992,0.08396900,88.75183868
-1.01901992,-0.08396900,88.75183868
-1.01899992,0.16793799,88.75183868
-1.01897992,-0.08396900,88.75183868
-1.01895992,0.08396900,88.75183868
-1.01893992,0.00000000,97.21025085
-1.01891992,0.08396900,101.43946075
-1.01889992,0.08396900,97.21025085
-1.01887992,-0.08396900,97.21025085
-1.01885992,0.16793799,101.43946075
-1.01883992,-0.16793799,92.98104858
-1.01881992,0.08396900,105.66867065
-1.01879992,-0.08396900,92.98104858
-1.01877992,-0.08396900,84.52262878
-1.01875992,0.16793799,88.75183868
-1.01873992,-0.08396900,92.98104858
-1.01871992,0.08396900,84.52262878
-1.01869992,0.00000000,84.52262878
-1.01867992,0.00000000,88.75183868
-1.01865992,0.16793799,84.52262878
-1.01863992,-0.08396900,76.07959747
-1.01861992,0.08396900,80.30880737
-1.01859992,-0.08396900,80.30880737
-1.01857992,0.00000000,88.75183868
-1.01855992,0.08396900,84.52262878
-1.01853992,-0.16793799,84.52262878
-1.01851992,0.16793799,76.07959747
-1.01849992,-0.08396900,80.30880737
-1.01847992,0.00000000,71.85038757
-1.01845992,0.16793799,67.62118530
-1.01843992,-0.08396900,67.62118530
-1.01841992,0.16793799,80.30880737
-1.01839992,-0.08396900,71.85038757
-1.01837992,0.16793799,67.62118530
-1.01835992,0.00000000,63.39197922
-1.01833992,-0.08396900,67.62118530
-1.01831992,0.16793799,67.62118530
-1.01829992,-0.16793799,76.07959747
-1.01827992,0.16793799,71.85038757
-1.01825992,-0.08396900,67.62118530
-1.01823992,0.08396900,59.16276550
-1.01821992,0.00000000,67.62118530
-1.01819992,0.00000000,67.62118530
-1.01817992,0.16793799,76.07959747
-1.01815992,-0.08396900,71.85038757
-1.01813992,0.16793799,59.16276550
-1.01811992,-0.08396900,59.16276550
-1.01809992,0.16793799,54.93355942
-1.01807992,-0.08396900,76.07959747
-1.01805992,0.00000000,54.93355942
-1.01803992,0.08396900,54.93355942
-1.01801992,0.00000000,50.71973038
-1.01799992,0.08396900,25.35986519
-1.01797992,-0.08396900,38.03210831
