cycle_idx,stage2_rmse,stage3b_rmse,R0_stage2,R0_stage3b,thetaZ_l2_norm,thetaZ_max_abs,shape_drift_rmse,shape_drift_mae,shape_drift_max_abs,Dn_over_Rn2,Dp_over_Rp2,De_over_eps_L1_sq,De_over_eps_L12_intf_sq,De_over_eps_L2_sq,De_over_eps_L23_intf_sq,De_over_eps_L3_sq
1,0.0038966502278447506,0.008736346282057552,0.04932492378755283,0.04874908042715478,0.8357396931491922,0.8334209327404468,0.0,0.0,0.0,0.0011406530735153663,0.0011406530735153663,1.868600384993801,1.0252403917177326,2.6784056686298916,1.0252403917177326,1.868600384993801
2,0.005156268983020549,0.010540605181668564,0.04882389812012796,0.04799353249329342,1.137278415032983,1.1337722699880886,3.985786343254138e+73,1.3965563458751412e+73,1.8883584008396137e+74,0.0011378036136053136,0.0011378036136053136,1.87135405062641,1.0253722905011964,2.6831261875411,1.0253722905011964,1.87135405062641
3,0.0059109252512158355,0.01183446178509545,0.048465955455778226,0.047484340594493184,1.312964431079026,1.309450639089952,7.339172693683156e+73,2.5715287350702006e+73,3.4769925574089243e+74,0.0011479944771785949,0.0011479944771785949,1.8614999058963477,1.0249059707592603,2.666248961870597,1.0249059707592603,1.8614999058963477
4,0.006036889253846948,0.012459290940654401,0.04840962763683186,0.047430271275417574,1.4126583648400968,1.4085625691900185,7.344135230013202e+73,2.5732677902681428e+73,3.479369879159458e+74,0.0011336860929458913,0.0011336860929458913,1.875393839279096,1.025564166448002,2.690040273432182,1.025564166448002,1.875393839279096
5,0.006193295228442301,0.016073748927250473,0.04839360248223974,0.047225051989336575,1.462203874614164,1.4574600737636987,9.924712186549801e+73,3.477460030724658e+73,4.701868789751817e+74,0.0011361680938993333,0.0011361680938993333,1.8728131963281878,1.0254500557908126,2.6856622222761635,1.0254500557908126,1.8728131963281878
6,0.0066543644358543486,0.014827258434155938,0.04812665678785608,0.04678363677629064,1.5372912737261033,1.531732691571678,8.072926927954295e+73,2.828624891044207e+73,3.824652771360156e+74,0.0011299998531257198,0.0011299998531257198,1.8790448010557297,1.0257375987696498,2.696285036504065,1.0257375987696498,1.8790448010557297
7,0.007182989037907519,0.01640463194876535,0.04811597125260872,0.04665783227330056,1.5571107958568642,1.550933477177924,1.4378027051346552e+74,5.0378302608029455e+73,6.811656112438615e+74,0.001131577727754046,0.001131577727754046,1.8774803629558203,1.0256631388244672,2.693608970475382,1.0256631388244672,1.8774803629558203
8,0.007204451606989325,0.014885379560551358,0.04790343350641982,0.04649644637358791,1.6047258381481582,1.5985118355183061,1.014741941606453e+74,3.5554941641357444e+73,4.807493032758023e+74,0.0011162452935336725,0.0011162452935336725,1.8924967356859816,1.0264047262945324,2.7193872262762286,1.0264047262945324,1.8924967356859816
9,0.007583451949027026,0.01780807585818944,0.0479951011554375,0.0463816446457786,1.6254900332784885,1.6186926002294126,1.7164186003885437e+74,6.014055615041384e+73,8.131602452919948e+74,0.0011132391574741076,0.0011132391574741076,1.8955586607664265,1.0265528633981569,2.724621723913253,1.0265528633981569,1.8955586607664265
10,0.01928520290067625,0.03171741301796179,0.04792659150745777,0.04601306491280995,1.6495575638218538,1.643584330957843,1.1051830177081011e+74,3.872381374037498e+73,5.235562622341053e+74,0.001150665778134387,0.001150665778134387,1.858939212157203,1.0247858626448436,2.66186347988873,1.0247858626448436,1.858939212157203
