stage,rmse,mae,p95,p99,max_abs,R0_hat,thetaZ_l2_norm,thetaZ_max_abs
stage2,0.012991446527616022,0.010111056722484092,0.021529396566817162,0.030119339684850185,0.03712596184646344,0.0479419358212976,1.7928368656324034,1.7805354611671762
stage3a,0.0582145332268428,0.05149165317656069,0.09588297397352522,0.10695440030526596,0.1186063140964273,,,
stage3b,0.022365621467250536,0.01617881656402898,0.045272148460044376,0.07695036117051125,0.08448626479757881,0.045659259602560405,1.8354840992362862,1.8259440083921281
