cycle_idx,stage2_rmse,stage3b_rmse,R0_stage2,R0_stage3b,thetaZ_l2_norm,thetaZ_max_abs,shape_drift_rmse,shape_drift_mae,shape_drift_max_abs,Dn_over_Rn2,Dp_over_Rp2,De_over_eps_L1_sq,De_over_eps_L12_intf_sq,De_over_eps_L2_sq,De_over_eps_L23_intf_sq,De_over_eps_L3_sq
226,0.35768532774359885,0.37657961992873124,0.045143005059727195,0.03248818164110296,4.149466827641152,3.666683140495653,0.0,0.0,0.0,0.0009539281699620777,0.0009539281699620777,2.0832503837780485,1.0365097740838067,3.0446941946299653,1.0365097740838067,2.0832503837780485
227,0.49935339501204623,0.5463453312889538,0.0452114667480759,0.032238698336586165,4.15772483790411,3.6319334849647897,9.175594689381423e+59,3.215162781907726e+59,4.37192155900923e+60,0.0010148313877276953,0.0010148313877276953,2.004525053799156,1.0321579544278294,2.9107550933791897,1.0321579544278294,2.004525053799156
228,0.3431240443414011,0.4369710166208588,0.0453363117124324,0.03225577635692078,4.1196181797760065,3.5901360296453473,1.0255141999084118e+59,3.5934667838212807e+58,4.89251322194111e+59,0.0008156880863880493,0.0008156880863880493,2.3044923716533523,1.0501043498475924,3.419598191321196,1.0501043498475924,2.3044923716533523
229,0.36714592396319135,0.40392970500863407,0.045445382295781246,0.032417185710179985,4.064230699551952,3.581526216571083,2.9485456840027913e+59,1.0331817494482016e+59,1.404961821649371e+60,0.0007794378274783832,0.0007794378274783832,2.3752014059367217,1.054853838860224,3.5390529281070067,1.054853838860224,2.3752014059367217
230,0.34413605917155365,0.4300043536270788,0.04554705346956369,0.03241713298677057,4.079985646762924,3.545628810815204,1.480427988309432e+59,5.18749836156899e+58,7.058970370063344e+59,0.0007953986416321902,0.0007953986416321902,2.3432871133615802,1.0526868636140578,3.485156920052992,1.0526868636140578,2.3432871133615802
231,0.33977723806987936,0.4198852157350478,0.04537244195791004,0.03241447577871642,4.051180558151981,3.5258662799714457,8.635794684211365e+58,3.0260376015481063e+58,4.120064124652079e+59,0.0010701828803595702,0.0010701828803595702,1.9407541272103603,1.0288183420000372,2.801941664206299,1.0288183420000372,1.9407541272103603
232,0.5072211783938164,0.4667744709520007,0.0456722015630486,0.0328682615665156,3.9258226116682957,3.549973210180778,4.271879943700596e+58,1.496897052230357e+58,2.0536927515849226e+59,0.0010284645618339671,0.0010284645618339671,1.9882017817321405,1.0312858843191495,2.882925149032419,1.0312858843191495,1.9882017817321405
233,0.34005760577752686,0.4195579819630248,0.04574042051619634,0.03266407774070857,3.988031777625436,3.4620035121190296,1.0350723540607437e+59,3.6269552529506583e+58,4.937091079520093e+59,0.000791337534306141,0.000791337534306141,2.3513085494361334,1.0532268588337643,3.4986998277315426,1.0532268588337643,2.3513085494361334
234,0.3268554372605507,0.39714491785697126,0.045987170302444126,0.032802939014738665,4.031474682418744,3.498150137847334,4.145464131757753e+59,1.45257920178471e+59,1.973848164345956e+60,0.0008830427429854249,0.0008830427429854249,2.1881806864370383,1.042715057561067,3.222759713995438,1.042715057561067,2.1881806864370383
235,0.33643253404394435,0.4171906261465783,0.046045174416380785,0.03282865794655341,3.981423756831012,3.454876174518087,8.561004403187375e+58,2.999831514531861e+58,4.08462593737083e+59,0.0008184231530523913,0.0008184231530523913,2.299399133294658,1.0497699814868395,3.4109900393486914,1.0497699814868395,2.299399133294658
236,0.34048717206776036,0.41419089765423395,0.045632163831911224,0.0327451858168431,4.014232503417953,3.4515271296066117,1.317165757011313e+60,4.61538686462303e+59,6.273681739465444e+60,0.0010981192698846936,0.0010981192698846936,1.910947642218615,1.0273192857862035,2.750990399818292,1.0273192857862035,1.910947642218615
237,0.31329349667446393,0.4005711026011289,0.04571848566054353,0.03273268835121129,4.097665951415057,3.527727494384485,2.0649399225268945e+60,7.235605675965351e+59,9.834668090120947e+60,0.001001734917121342,0.001001734917121342,2.0206629781888625,1.0330285559753465,2.9382395460335213,1.0330285559753465,2.0206629781888625
238,0.3298788497651669,0.41003616369098267,0.04573386378082304,0.03261081024176477,3.966258387282421,3.45396343458978,5.2446379556639e+58,1.837762147054637e+58,2.504472769713087e+59,0.0011494321345327514,0.0011494321345327514,1.8599969775969616,1.024842780852906,2.663708549343948,1.024842780852906,1.8599969775969616
239,0.32433446836310514,0.40707413448536833,0.04575330921094498,0.03260381174743683,3.9589373161365535,3.450086123714938,8.910690798856916e+58,3.1222982809498207e+58,4.2383682320722045e+59,0.0011332533903841012,0.0011332533903841012,1.8755782034385395,1.0255874564938205,2.690421556238855,1.0255874564938205,1.8755782034385395
240,0.6373929403195222,0.5301967607251156,0.04572794012556337,0.032760830408393636,3.8472869694366145,3.617590606484197,2.9637959028939844e+59,1.0383427260616088e+59,1.444225946604004e+60,0.0009625644070975715,0.0009625644070975715,2.0714564252659753,1.0358433144866634,3.024660672356112,1.0358433144866634,2.0714564252659753
241,0.3288184879439054,0.41663618521816265,0.0455721118468208,0.03245202466352497,4.005898904024884,3.487746463318887,8.361178118872552e+58,2.929811561402381e+58,3.9894125034104517e+59,0.000978232844414155,0.000978232844414155,2.0506435425900076,1.0346777655632742,2.9892711720428062,1.0346777655632742,2.0506435425900076
242,0.32712288923988125,0.4125470930912291,0.0455080660589872,0.03241808986617039,3.9873572156277812,3.467472273245333,5.591126792675812e+58,1.959174625341169e+58,2.669959936068353e+59,0.0008159197712087362,0.0008159197712087362,2.3040403042055773,1.0500756298207612,3.4188399858995595,1.0500756298207612,2.3040403042055773
243,0.3271587813868379,0.41127450820925204,0.045950037774454916,0.03283052808601092,3.961737031192858,3.4434624619802086,1.0621729599857324e+59,3.721916316971868e+58,5.066068774379934e+59,0.0008446124249822356,0.0008446124249822356,2.2523291873505853,1.0467241395824,3.3313769304844536,1.0467241395824,2.2523291873505853
244,0.32875577281585994,0.4057575762786373,0.04580071485030836,0.03273919167548314,3.936896204806662,3.425199963938209,1.3546483755817173e+59,4.7467584914682615e+58,6.458895552923364e+59,0.000832765187688904,0.000832765187688904,2.2732800733807443,1.0480683118280034,3.3668169324771497,1.0480683118280034,2.2732800733807443
245,0.32295765674378124,0.4037202888355252,0.045911802994876315,0.03279799712976672,3.9301712966200966,3.413353288132613,5.925144015655519e+57,2.076176593775228e+57,2.851650451914957e+58,0.0007867187541826175,0.0007867187541826175,2.360490421475009,1.0538499522489413,3.5142115775245797,1.0538499522489413,2.360490421475009
246,0.32745513652808755,0.4079760467914517,0.045952444739958624,0.03286265954298946,3.9208611668969544,3.3982054519410045,7.56047403760326e+58,2.6492414812413854e+58,3.6078998404584653e+59,0.0007327512585566682,0.0007327512585566682,2.4763102132155663,1.061971656955143,3.7096385946539936,1.061971656955143,2.4763102132155663
247,0.34467637667371814,0.4090530432837423,0.04631741694276595,0.03305012422509472,3.9022610601944403,3.385563441189298,2.861427136165481e+59,1.0026563703726618e+59,1.363725014788915e+60,0.0009484720732423939,0.0009484720732423939,2.0907253793893648,1.0369400595721336,3.0574123374386994,1.0369400595721336,2.0907253793893648
